,Timestamp,SA,SSID,RSSI
0,1656515682.777563000,3c:98:72:48:9b:1d,Verze5G,-74
1,1656515682.794440000,b0:3e:51:09:93:62,SKYDB964,-56
2,1656515682.797446000,66:b3:fe:e2:cb:c2,OnePlus 5,-53
3,1656515682.800038000,3c:98:72:48:9b:1b,Verze,-69
4,1656515686.328594000,3c:98:72:48:9b:1d,Verze5G,-75
5,1656515686.329811000,b0:3e:51:09:93:62,SKYDB964,-57
6,1656515686.330652000,66:b3:fe:e2:cb:c2,OnePlus 5,-54
7,1656515686.330652000,3c:98:72:48:9b:1b,Verze,-60
8,1656515686.334688000,02:b7:09:21:b3:01,TIM-51339330,-100
9,1656515686.338322000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
10,1656515686.341400000,60:a4:b7:e0:e3:0c,TP-Link_E30A,-90
11,1656515689.950054000,3c:98:72:48:9b:1d,Verze5G,-76
12,1656515689.951054000,b0:3e:51:09:93:62,SKYDB964,-59
13,1656515689.951996000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
14,1656515689.952492000,3c:98:72:48:9b:1b,Verze,-60
15,1656515689.952995000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
16,1656515693.492776000,3c:98:72:48:9b:1d,Verze5G,-77
17,1656515693.494341000,b0:3e:51:09:93:62,SKYDB964,-56
18,1656515693.495825000,66:b3:fe:e2:cb:c2,OnePlus 5,-57
19,1656515693.496322000,3c:98:72:48:9b:1b,Verze,-62
20,1656515693.497992000,02:b7:09:21:b3:01,TIM-51339330,-100
21,1656515693.499032000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-96
22,1656515696.997965000,3c:98:72:48:9b:1d,Verze5G,-78
23,1656515696.998974000,b0:3e:51:09:93:62,SKYDB964,-57
24,1656515696.998974000,66:b3:fe:e2:cb:c2,OnePlus 5,-58
25,1656515697.000183000,3c:98:72:48:9b:1b,Verze,-61
26,1656515697.001312000,02:b7:09:21:b3:01,TIM-51339330,-100
27,1656515697.001604000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-97
28,1656515697.001604000,98:0d:67:ab:63:58,WiFi-Jaafar,-100
29,1656515700.629266000,3c:98:72:48:9b:1d,Verze5G,-77
30,1656515700.630015000,b0:3e:51:09:93:62,SKYDB964,-59
31,1656515700.630015000,3c:98:72:48:9b:1b,Verze,-60
32,1656515700.630409000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
33,1656515700.630812000,02:b7:09:21:b3:01,TIM-51339330,-100
34,1656515700.630812000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-97
35,1656515700.631413000,98:0d:67:ab:63:58,WiFi-Jaafar,-100
36,1656515704.161112000,3c:98:72:48:9b:1d,Verze5G,-78
37,1656515704.162109000,b0:3e:51:09:93:62,SKYDB964,-57
38,1656515704.162715000,3c:98:72:48:9b:1b,Verze,-60
39,1656515704.164081000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
40,1656515704.164081000,02:b7:09:21:b3:01,TIM-51339330,-100
41,1656515704.165457000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-99
42,1656515707.696142000,3c:98:72:48:9b:1d,Verze5G,-78
43,1656515707.697006000,b0:3e:51:09:93:62,SKYDB964,-58
44,1656515707.697929000,3c:98:72:48:9b:1b,Verze,-62
45,1656515707.697929000,66:b3:fe:e2:cb:c2,OnePlus 5,-62
46,1656515707.699715000,38:37:8b:18:ad:1f,WebPocket-AD1F,-80
47,1656515707.703213000,36:59:43:72:94:0e,TIM-20085789,-100
48,1656515707.704729000,02:b7:09:21:b3:01,TIM-51339330,-99
49,1656515707.705735000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
50,1656515711.247325000,3c:98:72:48:9b:1d,Verze5G,-78
51,1656515711.247325000,b0:3e:51:09:93:62,SKYDB964,-57
52,1656515711.248713000,66:b3:fe:e2:cb:c2,OnePlus 5,-55
53,1656515711.248760000,3c:98:72:48:9b:1b,Verze,-59
54,1656515711.249082000,02:b7:09:21:b3:01,TIM-51339330,-96
55,1656515711.249578000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
56,1656515714.857659000,3c:98:72:48:9b:1d,Verze5G,-76
57,1656515714.858942000,b0:3e:51:09:93:62,SKYDB964,-57
58,1656515714.860140000,3c:98:72:48:9b:1b,Verze,-62
59,1656515714.861146000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
60,1656515714.861146000,02:b7:09:21:b3:01,TIM-51339330,-94
61,1656515714.862042000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
62,1656515718.403717000,3c:98:72:48:9b:1d,Verze5G,-77
63,1656515718.404687000,b0:3e:51:09:93:62,SKYDB964,-57
64,1656515718.405680000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
65,1656515718.406655000,3c:98:72:48:9b:1b,Verze,-60
66,1656515718.407133000,02:b7:09:21:b3:01,TIM-51339330,-95
67,1656515718.408126000,60:a4:b7:e0:e3:0c,TP-Link_E30A,-86
68,1656515718.409119000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-100
69,1656515721.953076000,b0:3e:51:09:93:62,SKYDB964,-56
70,1656515721.954358000,3c:98:72:48:9b:1b,Verze,-60
71,1656515721.954854000,66:b3:fe:e2:cb:c2,OnePlus 5,-62
72,1656515721.955745000,02:b7:09:21:b3:01,TIM-51339330,-92
73,1656515721.956278000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-98
74,1656515725.482237000,3c:98:72:48:9b:1d,Verze5G,-77
75,1656515725.483754000,b0:3e:51:09:93:62,SKYDB964,-56
76,1656515725.484224000,66:b3:fe:e2:cb:c2,OnePlus 5,-60
77,1656515725.487045000,3c:98:72:48:9b:1b,Verze,-60
78,1656515725.488033000,02:b7:09:21:b3:01,TIM-51339330,-91
79,1656515725.488534000,30:b5:c2:ed:67:b4,WWW.DIRETE.IT,-96
